01.12.11;WP.ABRECHNUNG 0121681661001Kauf ISINLU0360863863ARERO.DER WELTFONDS INH.  Wertpapierkauf;Investment;;;;-168,83;;;;
18.12.14;WP.ABRECHNUNG 0122283020001Kauf ISINLU0360863863ARERO.DER WELTFONDS INH.  Wertpapierkauf;Investment;;;;-50,00;;;;
